state,state_code,district,district_code,taluk,taluk_code,village,village_code,latitude,longitude,no_plots,no_khatiyans,no_tenants,ri_circle,revenue_inspector,tehsildar
Chhattisgarh,22,Bilaspur,014,Bilaspur North,01,Rampur,001,22.11822,82.22157,2823,1948,1098,Bilaspur RI Circle 1,RI-22014-01,Tehsildar Bilaspur North
Chhattisgarh,22,Bilaspur,014,Bilaspur North,01,Kothapalli,002,22.13815,82.20012,515,329,179,Bilaspur RI Circle 1,RI-22014-01,Tehsildar Bilaspur North
Chhattisgarh,22,Bilaspur,014,Bilaspur North,01,Ganeshpura,003,22.03095,82.01436,2566,1715,489,Bilaspur RI Circle 1,RI-22014-01,Tehsildar Bilaspur North
Chhattisgarh,22,Bilaspur,014,Bilaspur North,01,Bhimnagar,004,22.12584,82.21058,2873,2373,383,Bilaspur RI Circle 2,RI-22014-02,Tehsildar Bilaspur North
Chhattisgarh,22,Bilaspur,014,Bilaspur North,01,Sultanpur,005,22.176,82.16065,2230,1805,235,Bilaspur RI Circle 2,RI-22014-02,Tehsildar Bilaspur North
Chhattisgarh,22,Bilaspur,014,Bilaspur North,01,Devgaon,006,22.09827,82.19291,1084,649,377,Bilaspur RI Circle 2,RI-22014-02,Tehsildar Bilaspur North
Chhattisgarh,22,Bilaspur,014,Bilaspur South,02,Chandrapalli,007,22.07483,82.12939,2803,2206,1027,Bilaspur RI Circle 3,RI-22014-03,Tehsildar Bilaspur South
Chhattisgarh,22,Bilaspur,014,Bilaspur South,02,Narsapur,008,22.07113,82.08163,600,393,154,Bilaspur RI Circle 3,RI-22014-03,Tehsildar Bilaspur South
Chhattisgarh,22,Bilaspur,014,Bilaspur South,02,Basavanahalli,009,22.01899,82.03439,1847,1542,611,Bilaspur RI Circle 3,RI-22014-03,Tehsildar Bilaspur South
Chhattisgarh,22,Bilaspur,014,Bilaspur South,02,Mallapuram,010,22.08781,82.2076,566,354,86,Bilaspur RI Circle 4,RI-22014-04,Tehsildar Bilaspur South
Chhattisgarh,22,Bilaspur,014,Bilaspur South,02,Amrapur,011,21.88938,82.10193,2781,2166,616,Bilaspur RI Circle 4,RI-22014-04,Tehsildar Bilaspur South
Chhattisgarh,22,Bilaspur,014,Bilaspur South,02,Jaitpur,012,22.04497,82.07168,745,593,97,Bilaspur RI Circle 4,RI-22014-04,Tehsildar Bilaspur South
Chhattisgarh,22,Bilaspur,014,Bilaspur East,03,Kesarpur,013,22.14853,82.08646,2703,2078,1058,Bilaspur RI Circle 5,RI-22014-05,Tehsildar Bilaspur East
Chhattisgarh,22,Bilaspur,014,Bilaspur East,03,Lakshmipura,014,22.02936,82.12321,1921,1310,376,Bilaspur RI Circle 5,RI-22014-05,Tehsildar Bilaspur East
Chhattisgarh,22,Bilaspur,014,Bilaspur East,03,Madhavgarh,015,22.05641,81.93091,1278,930,204,Bilaspur RI Circle 5,RI-22014-05,Tehsildar Bilaspur East
Chhattisgarh,22,Bilaspur,014,Bilaspur East,03,Nandgaon,016,22.10177,82.19446,2644,1584,268,Bilaspur RI Circle 6,RI-22014-06,Tehsildar Bilaspur East
Chhattisgarh,22,Bilaspur,014,Bilaspur East,03,Peddapalli,017,22.05954,82.08231,2751,1649,481,Bilaspur RI Circle 6,RI-22014-06,Tehsildar Bilaspur East
Chhattisgarh,22,Bilaspur,014,Bilaspur East,03,Raghunathpur,018,21.99333,82.20219,1887,1146,606,Bilaspur RI Circle 6,RI-22014-06,Tehsildar Bilaspur East
Chhattisgarh,22,Bilaspur,014,Bilaspur West,04,Shivnagar,019,21.90402,82.16093,698,553,169,Bilaspur RI Circle 7,RI-22014-07,Tehsildar Bilaspur West
Chhattisgarh,22,Bilaspur,014,Bilaspur West,04,Tarapur,020,22.14823,82.24153,2354,1304,512,Bilaspur RI Circle 7,RI-22014-07,Tehsildar Bilaspur West
Chhattisgarh,22,Bilaspur,014,Bilaspur West,04,Uttanahalli,021,22.20281,82.10256,2409,1986,581,Bilaspur RI Circle 7,RI-22014-07,Tehsildar Bilaspur West
Chhattisgarh,22,Bilaspur,014,Bilaspur West,04,Veerapuram,022,22.29904,82.21946,2052,1635,494,Bilaspur RI Circle 8,RI-22014-08,Tehsildar Bilaspur West
Chhattisgarh,22,Bilaspur,014,Bilaspur West,04,Yellapur,023,22.02061,82.2063,2281,1467,346,Bilaspur RI Circle 8,RI-22014-08,Tehsildar Bilaspur West
Chhattisgarh,22,Bilaspur,014,Bilaspur West,04,Zamania,024,22.11069,81.91439,2797,2096,1102,Bilaspur RI Circle 8,RI-22014-08,Tehsildar Bilaspur West
Chhattisgarh,22,Durg,009,Durg North,01,Rampur,001,21.28674,81.41454,2195,1562,392,Durg RI Circle 1,RI-22009-01,Tehsildar Durg North
Chhattisgarh,22,Durg,009,Durg North,01,Kothapalli,002,21.16965,81.30944,537,431,90,Durg RI Circle 1,RI-22009-01,Tehsildar Durg North
Chhattisgarh,22,Durg,009,Durg North,01,Ganeshpura,003,21.32285,81.3109,2143,1556,326,Durg RI Circle 1,RI-22009-01,Tehsildar Durg North
Chhattisgarh,22,Durg,009,Durg North,01,Bhimnagar,004,21.36378,81.22874,1356,1047,329,Durg RI Circle 2,RI-22009-02,Tehsildar Durg North
Chhattisgarh,22,Durg,009,Durg North,01,Sultanpur,005,21.12167,81.22517,3182,2543,561,Durg RI Circle 2,RI-22009-02,Tehsildar Durg North
Chhattisgarh,22,Durg,009,Durg North,01,Devgaon,006,21.14733,81.26424,993,653,326,Durg RI Circle 2,RI-22009-02,Tehsildar Durg North
