upstream_ulpin,downstream_ulpin,dependency_type,note
22-009-004-262101,22-009-013-481454,Contiguous stretch,Airport Expansion alignment continues into the next stretch
22-009-010-139561,22-002-004-231516,Contiguous stretch,Airport Expansion alignment continues into the next stretch
22-009-001-966349,22-014-005-537148,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
22-018-020-948330,22-014-012-594344,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
22-018-003-186466,22-018-007-427108,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
22-002-014-968638,22-002-019-640682,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
22-002-019-640682,22-018-024-885603,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
22-014-023-503989,22-002-016-810586,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
22-009-023-040045,22-014-007-664694,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
22-014-007-664694,22-002-016-709031,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
22-018-021-968127,22-009-020-067439,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
22-009-020-067439,22-009-012-513964,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
22-018-006-970351,22-014-009-112459,Contiguous stretch,National Highway alignment continues into the next stretch
22-009-021-025825,22-018-019-687038,Contiguous stretch,National Highway alignment continues into the next stretch
22-018-019-687038,22-009-004-500684,Contiguous stretch,National Highway alignment continues into the next stretch
22-018-021-025320,22-018-005-566774,Contiguous stretch,National Highway alignment continues into the next stretch
22-018-005-566774,22-002-008-335658,Contiguous stretch,National Highway alignment continues into the next stretch
22-002-008-335658,22-014-018-128587,Contiguous stretch,National Highway alignment continues into the next stretch
22-014-018-128587,22-009-003-212798,Contiguous stretch,National Highway alignment continues into the next stretch
22-018-015-281782,22-014-008-482155,Contiguous stretch,Power Transmission alignment continues into the next stretch
22-014-008-482155,22-018-002-476787,Contiguous stretch,Power Transmission alignment continues into the next stretch
22-009-011-853396,22-018-024-418496,Contiguous stretch,Power Transmission alignment continues into the next stretch
22-018-024-418496,22-018-021-586883,Contiguous stretch,Power Transmission alignment continues into the next stretch
22-014-019-874264,22-018-016-513419,Contiguous stretch,Power Transmission alignment continues into the next stretch
22-018-016-513419,22-014-016-234546,Contiguous stretch,Power Transmission alignment continues into the next stretch
22-014-016-234546,22-009-008-472058,Contiguous stretch,Power Transmission alignment continues into the next stretch
22-018-021-350278,22-018-014-152454,Contiguous stretch,Power Transmission alignment continues into the next stretch
22-018-016-872581,22-009-007-337564,Contiguous stretch,Railway Line alignment continues into the next stretch
22-009-007-337564,22-009-002-243259,Contiguous stretch,Railway Line alignment continues into the next stretch
22-002-006-583299,22-014-013-660569,Contiguous stretch,Railway Line alignment continues into the next stretch
22-014-013-660569,22-002-004-192320,Contiguous stretch,Railway Line alignment continues into the next stretch
22-009-004-522374,22-014-013-822415,Contiguous stretch,State Highway alignment continues into the next stretch
22-018-024-953394,22-009-018-967292,Contiguous stretch,State Highway alignment continues into the next stretch
22-014-017-793907,22-018-001-545491,Contiguous stretch,State Highway alignment continues into the next stretch
22-018-001-545491,22-014-011-342646,Contiguous stretch,State Highway alignment continues into the next stretch
22-014-011-342646,22-018-016-820400,Contiguous stretch,State Highway alignment continues into the next stretch
22-018-016-820400,22-014-003-019606,Contiguous stretch,State Highway alignment continues into the next stretch
22-014-003-570750,22-018-009-028179,Contiguous stretch,Urban Metro alignment continues into the next stretch
22-014-020-275962,22-009-003-276112,Contiguous stretch,Urban Metro alignment continues into the next stretch
22-009-003-276112,22-002-018-182753,Contiguous stretch,Urban Metro alignment continues into the next stretch
22-002-018-182753,22-002-022-310918,Contiguous stretch,Urban Metro alignment continues into the next stretch
22-014-017-781394,22-018-014-243421,Contiguous stretch,Urban Metro alignment continues into the next stretch
22-009-014-008304,22-018-017-780109,Contiguous stretch,Urban Metro alignment continues into the next stretch
22-014-003-088548,22-002-022-348266,Contiguous stretch,Urban Metro alignment continues into the next stretch
29-018-024-878590,29-018-019-080916,Contiguous stretch,Airport Expansion alignment continues into the next stretch
29-018-019-080916,29-022-004-218882,Contiguous stretch,Airport Expansion alignment continues into the next stretch
29-022-004-218882,29-009-020-506475,Contiguous stretch,Airport Expansion alignment continues into the next stretch
29-009-020-506475,29-018-010-881797,Contiguous stretch,Airport Expansion alignment continues into the next stretch
29-018-010-881797,29-009-001-560843,Contiguous stretch,Airport Expansion alignment continues into the next stretch
