ulpin,project_name,project_type,implementing_agency,state,district,taluk,village,latitude,longitude,notification_date,expected_completion_date,actual_completion_date,land_area_acres,no_affected_families,no_landowners,ownership_fragmentation_index,ownership_dispute_flag,no_ownership_disputes,title_clarity_status,circle_rate_per_acre_lakhs,compensation_fair_value_lakhs,compensation_amount_sanctioned_lakhs,compensation_amount_disbursed_lakhs,compensation_disbursed_pct,compensation_gap_pct,compensation_dispute_flag,no_compensation_appeals,no_legal_disputes,legal_dispute_stage,court_stay_flag,days_since_dispute_filed,rehab_plan_approved_flag,rehab_progress_pct,resettlement_site_ready_flag,no_families_resettled,approval_stage,days_in_current_stage,no_pending_clearances,environmental_clearance_status,forest_clearance_status,is_closed_project,historical_delay_days,is_delayed,delay_stage,assigned_field_officer_id,latent_risk_audit,planned_duration_days,top_driver_audit
36-027-018-816317,Railway Line - Nizamabad Stretch 7,Railway Line,Indian Railways,Telangana,Nizamabad,Nizamabad East,Raghunathpur,18.67608,78.21761,2020-03-26,2022-12-02,2023-10-05,23.2,50,40,1.724,True,2,Disputed,23.92,2219.78,1377.36,855.34,62.1,37.95,True,3,3,Filed,False,18,True,59.7,True,29,Award Declared,331,3,Pending,Obtained,True,307,True,Administrative Approval,TG-LAO-2021-0135,0.6699,981,Administrative Approval
22-002-009-541227,State Highway - Raipur Stretch 1,State Highway,State PWD,Chhattisgarh,Raipur,Raipur South,Basavanahalli,21.14688,81.62525,2019-12-30,2021-10-18,2021-12-07,71.4,175,97,1.359,True,3,Partial,90.13,12870.56,10000.5,2050.1,20.5,22.3,False,0,1,Under Hearing,False,480,True,88.7,False,147,Award Declared,293,1,Obtained,Not Required,True,50,True,Compensation Disbursal,CG-LAO-2022-0755,0.471,658,Compensation Disbursal
21-005-011-786728,Industrial Corridor - Khordha Stretch 3,Industrial Corridor,State Industrial Corp,Odisha,Khordha,Khordha South,Amrapur,20.23841,85.78664,2020-07-01,2021-09-07,2021-09-07,31.3,49,44,1.406,False,0,Partial,16.38,2050.78,1838.72,1505.91,81.9,10.34,False,0,1,Filed,False,430,False,36.5,True,15,R&R Implementation,38,0,Not Required,Applied,True,0,False,Not Applicable,OD-LAO-2022-0873,0.2967,433,Rehabilitation (R&R)
22-009-021-025825,National Highway - Durg Stretch 7,National Highway,NHAI,Chhattisgarh,Durg,Durg West,Uttanahalli,21.24925,81.25943,2021-08-12,2023-02-17,2023-09-18,30.7,67,37,1.205,True,2,Partial,18.89,2319.69,1935.17,700.53,36.2,16.58,False,0,2,Stayed by Court,True,52,True,42.2,False,25,Section 11 Notification Issued,86,5,Obtained,Obtained,True,213,True,Legal Dispute,CG-LAO-2024-0988,0.6195,554,Legal Dispute
27-013-006-432571,Irrigation Canal - Pune Stretch 8,Irrigation Canal,State Irrigation Dept,Maharashtra,Pune,Pune North,Devgaon,18.57712,73.79455,2021-11-20,2023-11-10,2024-05-13,19.1,27,27,1.414,False,0,Clear,41.15,1571.93,736.54,588.5,79.9,53.14,True,6,4,Filed,False,124,True,40.4,False,7,Section 11 Notification Issued,71,4,Obtained,Not Required,True,185,True,Legal Dispute,MH-LAO-2023-0454,0.5154,720,Legal Dispute
23-033-010-217866,Airport Expansion - Gwalior Stretch 8,Airport Expansion,Airports Authority of India,Madhya Pradesh,Gwalior,Gwalior South,Mallapuram,26.37576,78.07091,2023-04-11,2025-01-28,2025-12-17,24.6,52,35,1.423,True,5,Disputed,16.47,1620.65,879.67,436.32,49.6,45.72,True,1,9,Under Hearing,False,77,True,33.8,True,16,SIA Completed,97,1,Applied,Obtained,True,323,True,Ownership / Title,MP-LAO-2024-0467,0.6406,658,Ownership / Title
36-011-021-962044,Railway Line - Warangal Stretch 7,Railway Line,Indian Railways,Telangana,Warangal,Warangal West,Uttanahalli,17.90944,79.68431,2020-03-11,2022-08-16,2022-12-30,30.6,75,47,1.536,True,1,Partial,31.86,3899.66,2766.4,1197.85,43.3,29.06,True,7,1,Filed,False,136,True,33.4,True,22,Award Declared,88,0,Obtained,Applied,True,136,True,Compensation Disbursal,TG-LAO-2021-0919,0.5158,888,Compensation Disbursal
27-013-021-503316,Railway Line - Pune Stretch 5,Railway Line,Indian Railways,Maharashtra,Pune,Pune West,Uttanahalli,18.48835,73.76849,2022-05-16,2023-12-20,2024-02-21,13.6,23,24,1.765,True,3,Disputed,41.74,1135.33,867.24,460.5,53.1,23.61,True,2,1,Under Hearing,False,39,True,84.4,True,13,SIA Completed,97,5,Obtained,Applied,True,63,True,Ownership / Title,MH-LAO-2023-0454,0.5217,583,Ownership / Title
33-031-006-380149,Urban Metro - Madurai Stretch 7,Urban Metro,Metro Rail Corp,Tamil Nadu,Madurai,Madurai North,Devgaon,9.8424,78.06003,2019-09-01,2021-01-02,2021-01-02,94.8,272,151,1.593,False,0,Clear,19.47,7383.02,6715.8,812.61,12.1,9.04,True,1,0,None,False,0,True,25.7,False,54,SIA Completed,66,2,Pending,Applied,True,0,False,Not Applicable,TN-LAO-2021-0436,0.4158,489,Rehabilitation (R&R)
36-011-019-414535,Power Transmission - Warangal Stretch 4,Power Transmission,POWERGRID,Telangana,Warangal,Warangal West,Shivnagar,17.93569,79.5258,2021-12-02,2023-12-03,2024-02-26,9.4,23,14,1.489,True,2,Partial,7.48,281.25,151.99,116.27,76.5,45.96,True,2,1,Stayed by Court,True,204,True,85.2,True,15,R&R Implementation,56,2,Obtained,Pending,True,85,True,Administrative Approval,TG-LAO-2021-0919,0.475,731,Administrative Approval
27-025-002-719139,Airport Expansion - Nagpur Stretch 8,Airport Expansion,Airports Authority of India,Maharashtra,Nagpur,Nagpur North,Kothapalli,21.20081,79.10264,2022-07-25,2023-10-31,2024-06-12,23.7,32,35,1.477,True,1,Disputed,41.3,1957.62,1381.23,408.84,29.6,29.44,True,2,3,Filed,False,493,True,50.7,False,12,Compensation Disbursement,92,3,Not Required,Obtained,True,225,True,Compensation Disbursal,MH-LAO-2025-0718,0.5906,463,Compensation Disbursal
21-012-001-738565,Power Transmission - Cuttack Stretch 5,Power Transmission,POWERGRID,Odisha,Cuttack,Cuttack North,Rampur,20.49618,85.94893,2021-11-15,2023-06-12,2023-06-12,10.2,22,20,1.961,True,3,Clear,29.35,1197.48,958.78,495.69,51.7,19.93,False,0,2,Under Hearing,False,143,False,23.4,False,3,R&R Implementation,6,3,Applied,Obtained,True,0,False,Not Applicable,OD-LAO-2021-0890,0.4731,574,Legal Dispute
22-009-001-966349,Industrial Corridor - Durg Stretch 8,Industrial Corridor,State Industrial Corp,Chhattisgarh,Durg,Durg North,Rampur,21.28431,81.42675,2020-01-07,2022-08-23,2022-08-23,41.6,72,56,1.346,True,2,Clear,20.76,3454.46,3159.18,2160.88,68.4,8.55,False,0,3,Filed,False,241,True,47.0,True,27,SIA Completed,245,2,Applied,Not Required,True,0,False,Not Applicable,CG-LAO-2024-0988,0.3398,959,Legal Dispute
23-033-014-835539,Irrigation Canal - Gwalior Stretch 5,Irrigation Canal,State Irrigation Dept,Madhya Pradesh,Gwalior,Gwalior East,Lakshmipura,26.04226,78.24164,2019-03-10,2020-06-01,2020-06-01,17.7,67,43,2.429,False,0,Clear,17.7,1253.16,892.01,282.77,31.7,28.82,True,2,1,Resolved,False,28,True,40.6,False,19,Section 11 Notification Issued,10,2,Obtained,Obtained,True,0,False,Not Applicable,MP-LAO-2024-0467,0.3615,449,Compensation Disbursal
