ulpin,snapshot_date,risk_score,compensation_disbursed_pct,rehab_progress_pct,days_in_current_stage
36-027-018-816317,2023-06-07,0.456,56.7,55.5,211
36-027-018-816317,2023-07-07,0.5558,58.1,56.6,241
36-027-018-816317,2023-08-06,0.6045,59.4,57.6,271
36-027-018-816317,2023-09-05,0.6464,60.8,58.7,301
36-027-018-816317,2023-10-05,0.6611,62.1,59.7,331
22-002-009-541227,2021-08-09,0.5369,15.1,84.5,173
22-002-009-541227,2021-09-08,0.4852,16.4,85.5,203
22-002-009-541227,2021-10-08,0.4984,17.8,86.6,233
22-002-009-541227,2021-11-07,0.4943,19.1,87.7,263
22-002-009-541227,2021-12-07,0.4524,20.5,88.7,293
21-005-011-786728,2021-05-10,0.5515,76.5,32.3,1
21-005-011-786728,2021-06-09,0.4869,77.9,33.4,1
21-005-011-786728,2021-07-09,0.4328,79.2,34.4,1
21-005-011-786728,2021-08-08,0.3728,80.6,35.5,8
21-005-011-786728,2021-09-07,0.3152,81.9,36.5,38
22-009-021-025825,2023-05-21,0.132,30.8,38.0,1
22-009-021-025825,2023-06-20,0.2603,32.2,39.1,1
22-009-021-025825,2023-07-20,0.3698,33.5,40.1,26
22-009-021-025825,2023-08-19,0.5003,34.9,41.2,56
22-009-021-025825,2023-09-18,0.6179,36.2,42.2,86
27-013-006-432571,2024-01-14,0.5691,74.5,36.2,1
27-013-006-432571,2024-02-13,0.5796,75.9,37.2,1
27-013-006-432571,2024-03-14,0.5571,77.2,38.3,11
27-013-006-432571,2024-04-13,0.5406,78.6,39.4,41
27-013-006-432571,2024-05-13,0.5448,79.9,40.4,71
23-033-010-217866,2025-08-19,0.9426,44.2,29.6,1
23-033-010-217866,2025-09-18,0.8775,45.6,30.6,7
23-033-010-217866,2025-10-18,0.8132,46.9,31.7,37
23-033-010-217866,2025-11-17,0.7045,48.2,32.8,67
23-033-010-217866,2025-12-17,0.633,49.6,33.8,97
36-011-021-962044,2022-09-01,0.6607,37.9,29.2,1
36-011-021-962044,2022-10-01,0.6328,39.2,30.2,1
36-011-021-962044,2022-10-31,0.5706,40.6,31.3,28
36-011-021-962044,2022-11-30,0.542,41.9,32.4,58
36-011-021-962044,2022-12-30,0.5528,43.3,33.4,88
27-013-021-503316,2023-10-24,0.3328,47.7,80.2,1
27-013-021-503316,2023-11-23,0.3866,49.1,81.2,7
27-013-021-503316,2023-12-23,0.4238,50.4,82.3,37
27-013-021-503316,2024-01-22,0.4814,51.8,83.4,67
27-013-021-503316,2024-02-21,0.4948,53.1,84.4,97
33-031-006-380149,2020-09-04,0.414,6.7,21.5,1
33-031-006-380149,2020-10-04,0.4116,8.1,22.5,1
33-031-006-380149,2020-11-03,0.3897,9.4,23.6,6
33-031-006-380149,2020-12-03,0.4186,10.8,24.6,36
33-031-006-380149,2021-01-02,0.4034,12.1,25.7,66
36-011-019-414535,2023-10-29,0.6594,71.1,81.0,1
36-011-019-414535,2023-11-28,0.6279,72.5,82.0,1
36-011-019-414535,2023-12-28,0.5714,73.8,83.1,1
36-011-019-414535,2024-01-27,0.5505,75.2,84.2,26
36-011-019-414535,2024-02-26,0.4995,76.5,85.2,56
27-025-002-719139,2024-02-13,0.4917,24.2,46.5,1
27-025-002-719139,2024-03-14,0.5064,25.6,47.6,2
27-025-002-719139,2024-04-13,0.5597,26.9,48.6,32
27-025-002-719139,2024-05-13,0.5914,28.2,49.7,62
27-025-002-719139,2024-06-12,0.5764,29.6,50.7,92
21-012-001-738565,2023-02-12,0.9711,46.3,19.2,1
21-012-001-738565,2023-03-14,0.8097,47.7,20.2,1
21-012-001-738565,2023-04-13,0.715,49.0,21.3,1
21-012-001-738565,2023-05-13,0.5754,50.4,22.3,1
21-012-001-738565,2023-06-12,0.4694,51.7,23.4,6
22-009-001-966349,2022-04-25,0.5753,63.0,42.8,125
22-009-001-966349,2022-05-25,0.5117,64.4,43.9,155
22-009-001-966349,2022-06-24,0.475,65.7,44.9,185
22-009-001-966349,2022-07-24,0.3632,67.1,46.0,215
22-009-001-966349,2022-08-23,0.3775,68.4,47.0,245
