ulpin,heir_claim_count,undocumented_claims,contested_claims,share_total_pct,succession_risk_band,succession_reason
09-002-004-500329,4,0,1,99.7,High,Competing heirship claims over the same parcel
09-002-005-820092,4,2,1,100.0,High,Competing heirship claims over the same parcel
09-002-006-374336,4,3,0,99.5,Medium,3 heir claim(s) without documentary proof — mutation not established
09-002-008-247131,2,0,1,100.0,High,Competing heirship claims over the same parcel
09-002-012-069721,3,0,2,94.6,High,Competing heirship claims over the same parcel
09-002-012-287289,3,1,1,96.5,High,Competing heirship claims over the same parcel
09-002-014-978881,4,1,1,100.0,High,Competing heirship claims over the same parcel
09-002-018-066783,3,2,0,98.9,Medium,2 heir claim(s) without documentary proof — mutation not established
09-002-018-837892,4,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-002-019-319626,4,1,0,97.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-002-019-518833,2,0,0,100.0,Low,All heirship claims documented
09-002-024-994533,4,1,1,100.0,High,Competing heirship claims over the same parcel
09-015-003-087671,3,2,0,100.0,Medium,2 heir claim(s) without documentary proof — mutation not established
09-015-005-629643,4,2,0,97.3,Medium,2 heir claim(s) without documentary proof — mutation not established
09-015-007-459474,1,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-007-970801,3,0,2,100.0,High,Competing heirship claims over the same parcel
09-015-009-180643,2,0,0,100.0,Low,All heirship claims documented
09-015-013-630484,3,1,0,95.6,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-015-984880,3,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-018-017810,3,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-018-040011,3,2,1,95.9,High,Competing heirship claims over the same parcel
09-015-018-258288,3,0,0,95.1,Medium,3 heirs on one parcel — consent risk at award
09-015-020-941039,4,2,1,100.0,High,Competing heirship claims over the same parcel
09-015-021-965587,2,0,0,91.1,Low,All heirship claims documented
09-015-022-331393,4,1,1,100.0,High,Competing heirship claims over the same parcel
09-015-023-422636,4,1,0,94.2,Medium,1 heir claim(s) without documentary proof — mutation not established
09-015-024-187536,4,0,2,95.2,High,Competing heirship claims over the same parcel
