ulpin,risk_probability_raw,risk_probability,risk_band,predicted_delay_stage,delay_stage_confidence,model_version
27-037-018-273093,0.67437,0.61538,Medium,Ownership / Title,0.9936,v2026-08-23T12-16-56
22-002-022-420389,0.13786,0.19231,Low,Administrative Approval,0.8747,v2026-08-23T12-16-56
09-044-014-641225,0.94766,0.89362,High,Administrative Approval,0.838,v2026-08-23T12-16-56
21-005-024-337424,0.07987,0.17857,Low,Legal Dispute,0.8062,v2026-08-23T12-16-56
23-004-006-093855,0.0008,0.0,Low,Administrative Approval,0.9622,v2026-08-23T12-16-56
36-027-007-288778,0.00044,0.0,Low,Administrative Approval,0.523,v2026-08-23T12-16-56
21-026-014-370727,0.8747,0.81818,High,Ownership / Title,0.9747,v2026-08-23T12-16-56
29-009-016-192964,0.9878,0.98077,High,Administrative Approval,0.7957,v2026-08-23T12-16-56
36-019-003-705316,0.02083,0.07937,Low,Administrative Approval,0.6242,v2026-08-23T12-16-56
36-003-020-070680,0.00042,0.0,Low,Administrative Approval,0.4756,v2026-08-23T12-16-56
22-009-020-203958,0.97141,0.98077,High,Legal Dispute,0.7874,v2026-08-23T12-16-56
22-009-002-176327,0.00495,0.0,Low,Administrative Approval,0.6554,v2026-08-23T12-16-56
09-044-016-605257,0.97363,0.98077,High,Legal Dispute,0.8266,v2026-08-23T12-16-56
29-018-018-118244,0.31234,0.30435,Low,Legal Dispute,0.9876,v2026-08-23T12-16-56
09-015-015-984880,0.03949,0.17857,Low,Legal Dispute,0.6393,v2026-08-23T12-16-56
22-014-013-719914,0.96641,0.98077,High,Ownership / Title,0.9891,v2026-08-23T12-16-56
09-002-018-699715,0.95657,0.89362,High,Rehabilitation (R&R),0.6769,v2026-08-23T12-16-56
33-014-017-005215,0.08106,0.17857,Low,Administrative Approval,0.4224,v2026-08-23T12-16-56
09-002-014-978881,0.7961,0.71429,High,Administrative Approval,0.5428,v2026-08-23T12-16-56
29-007-005-512685,0.05481,0.17857,Low,Compensation Disbursal,0.9512,v2026-08-23T12-16-56
